name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation,name_2
Dhofar 620,7377,Valid,L6,154.00000,Found,01/01/2001 12:00:00 AM,19.16667,54.65688,"(19.16667, 54.65688)",Oman
Dhofar 621,7378,Valid,L6,206.00000,Found,01/01/2001 12:00:00 AM,19.32458,54.82390,"(19.32458, 54.8239)",Oman
Dhofar 622,7379,Valid,H4-an,60.00000,Found,01/01/2001 12:00:00 AM,19.22787,54.85368,"(19.22787, 54.85368)",Oman
Dhofar 623,7380,Valid,L6,147.00000,Found,01/01/2001 12:00:00 AM,19.18553,54.65797,"(19.18553, 54.65797)",Oman
Dhofar 624,7381,Valid,H5,1332.00000,Found,01/01/2001 12:00:00 AM,19.12012,54.81400,"(19.12012, 54.814)",Oman
Dhofar 625,7382,Valid,H5/6,314.00000,Found,01/01/2001 12:00:00 AM,19.11283,54.82363,"(19.11283, 54.82363)",Oman
Dhofar 626,7383,Valid,L6,332.00000,Found,01/01/2001 12:00:00 AM,19.11608,54.82283,"(19.11608, 54.82283)",Oman
Dhofar 627,7384,Valid,H5,361.00000,Found,01/01/2001 12:00:00 AM,19.11212,54.82022,"(19.11212, 54.82022)",Oman
Dhofar 628,7385,Valid,H5/6,2220.00000,Found,01/01/2001 12:00:00 AM,19.10600,54.81438,"(19.106, 54.81438)",Oman
Dhofar 629,7386,Valid,H5,830.00000,Found,01/01/2001 12:00:00 AM,19.10948,54.81620,"(19.10948, 54.8162)",Oman
Dhofar 630,7387,Valid,H5,146.00000,Found,01/01/2001 12:00:00 AM,19.10790,54.81267,"(19.1079, 54.81267)",Oman
Dhofar 631,7388,Valid,H5,1395.00000,Found,01/01/2001 12:00:00 AM,19.10982,54.81738,"(19.10982, 54.81738)",Oman
Dhofar 632,7389,Valid,LL5,79.00000,Found,01/01/2001 12:00:00 AM,19.11412,54.81642,"(19.11412, 54.81642)",Oman
Dhofar 633,7390,Valid,H3,43.00000,Found,01/01/2001 12:00:00 AM,19.10727,54.60727,"(19.10727, 54.60727)",Oman
Dhofar 634,7391,Valid,L6,436.00000,Found,01/01/2001 12:00:00 AM,19.11107,54.61557,"(19.11107, 54.61557)",Oman
Dhofar 635,7392,Valid,L6,261.00000,Found,01/01/2001 12:00:00 AM,19.06820,54.77513,"(19.0682, 54.77513)",Oman
Dhofar 636,7393,Valid,L5,718.00000,Found,01/01/2001 12:00:00 AM,19.19820,54.88227,"(19.1982, 54.88227)",Oman
Dhofar 637,7394,Valid,L5,251.00000,Found,01/01/2001 12:00:00 AM,19.19580,54.86190,"(19.1958, 54.8619)",Oman
Dhofar 638,7395,Valid,L6,103.00000,Found,01/01/2001 12:00:00 AM,19.20277,54.65562,"(19.20277, 54.65562)",Oman
Dhofar 639,7396,Valid,L6,1521.00000,Found,01/01/2001 12:00:00 AM,19.20277,54.60048,"(19.20277, 54.60048)",Oman
Dhofar 640,7397,Valid,H5/6,64.00000,Found,01/01/2001 12:00:00 AM,19.13788,54.66702,"(19.13788, 54.66702)",Oman
Dhofar 641,7398,Valid,L6,72.00000,Found,01/01/2001 12:00:00 AM,19.17865,54.69808,"(19.17865, 54.69808)",Oman
Dhofar 642,7399,Valid,L6,135.00000,Found,01/01/2001 12:00:00 AM,18.19282,53.80802,"(18.19282, 53.80802)",Oman
Dhofar 643,7400,Valid,H6,124.00000,Found,01/01/2001 12:00:00 AM,18.65065,53.92492,"(18.65065, 53.92492)",Oman
Dhofar 644,7401,Valid,L6,704.00000,Found,01/01/2001 12:00:00 AM,18.66080,53.90457,"(18.6608, 53.90457)",Oman
Dhofar 645,7402,Valid,H3,48.00000,Found,01/01/2001 12:00:00 AM,18.96205,54.14542,"(18.96205, 54.14542)",Oman
Dhofar 646,7403,Valid,H5/6,3518.00000,Found,01/01/2001 12:00:00 AM,18.99420,54.18137,"(18.9942, 54.18137)",Oman
Dhofar 647,7404,Valid,L6,147.00000,Found,01/01/2001 12:00:00 AM,19.18155,54.68738,"(19.18155, 54.68738)",Oman
Dhofar 648,7405,Valid,LL6,133.00000,Found,01/01/2001 12:00:00 AM,19.18947,54.64198,"(19.18947, 54.64198)",Oman
Dhofar 649,7406,Valid,L6,33.00000,Found,01/01/2001 12:00:00 AM,19.19365,54.63747,"(19.19365, 54.63747)",Oman
Dhofar 650,7407,Valid,L6,114.00000,Found,01/01/2001 12:00:00 AM,19.19365,54.77660,"(19.19365, 54.7766)",Oman
Dhofar 651,7408,Valid,H5/6,218.00000,Found,01/01/2001 12:00:00 AM,19.20372,54.77657,"(19.20372, 54.77657)",Oman
Dhofar 652,7409,Valid,H5/6,44.00000,Found,01/01/2001 12:00:00 AM,19.10548,54.83808,"(19.10548, 54.83808)",Oman
Dhofar 653,7410,Valid,H5/6,1308.00000,Found,01/01/2001 12:00:00 AM,19.10795,54.81000,"(19.10795, 54.81)",Oman
Dhofar 654,7411,Valid,H5/6,167.00000,Found,01/01/2001 12:00:00 AM,19.10710,54.81638,"(19.1071, 54.81638)",Oman
Dhofar 655,7412,Valid,H5,400.00000,Found,01/01/2001 12:00:00 AM,19.11953,54.83563,"(19.11953, 54.83563)",Oman
Dhofar 656,7413,Valid,H4,724.00000,Found,01/01/2001 12:00:00 AM,19.09107,54.79628,"(19.09107, 54.79628)",Oman
Dhofar 657,7414,Valid,H5/6,652.00000,Found,01/01/2001 12:00:00 AM,19.09915,54.80073,"(19.09915, 54.80073)",Oman
Dhofar 658,7415,Valid,H4/5,225.00000,Found,01/01/2001 12:00:00 AM,19.10730,54.78677,"(19.1073, 54.78677)",Oman
Dhofar 659,7416,Valid,L3-6,275.00000,Found,01/01/2001 12:00:00 AM,19.12072,54.77867,"(19.12072, 54.77867)",Oman
Dhofar 660,7417,Valid,L5-6,963.00000,Found,01/01/2001 12:00:00 AM,19.12657,54.80297,"(19.12657, 54.80297)",Oman
Dhofar 661,7418,Valid,LL4-6,95.00000,Found,01/01/2001 12:00:00 AM,19.09042,54.08753,"(19.09042, 54.08753)",Oman
Dhofar 662,7419,Valid,H5,1511.00000,Found,01/01/2001 12:00:00 AM,19.09815,54.80662,"(19.09815, 54.80662)",Oman
Dhofar 663,7420,Valid,H5,633.00000,Found,01/01/2001 12:00:00 AM,19.09800,54.80357,"(19.098, 54.80357)",Oman
Dhofar 664,7421,Valid,H5/6,988.00000,Found,01/01/2001 12:00:00 AM,19.10460,54.80945,"(19.1046, 54.80945)",Oman
Dhofar 665,7422,Valid,H5/6,233.00000,Found,01/01/2001 12:00:00 AM,19.10777,54.81222,"(19.10777, 54.81222)",Oman
Dhofar 666,7423,Valid,H5/6,94.00000,Found,01/01/2001 12:00:00 AM,19.12023,54.79698,"(19.12023, 54.79698)",Oman
